node	x	y	z
6426	745155.955487	4778908.261418	0.000000
6427	745022.285895	4779045.638453	0.000000
6431	744887.763324	4779230.905087	0.000000
6444	744476.252148	4778979.869827	0.000000
6450	744239.633130	4778764.854459	0.000000
6478	743144.684410	4778041.259205	0.000000
6491	743413.393827	4777700.921322	0.000000
6496	743374.250489	4777584.718027	0.000000
6504	743188.149687	4777410.848930	0.000000
6510	742973.358271	4777305.141399	0.000000
6511	742832.394977	4777105.637160	0.000000
6512	742654.782304	4776778.640606	0.000000
6559	757633.454489	4808019.486113	0.000000
6568	736427.407062	4777751.384649	0.000000
6580	734665.102571	4777614.892028	0.000000
6581	735371.764267	4777397.808515	0.000000
6582	735452.843562	4777386.521120	0.000000
6583	735609.138814	4777418.586715	0.000000
6584	735615.702344	4777420.070110	0.000000
6585	735861.469159	4777479.153126	0.000000
6586	734761.658675	4777556.194902	0.000000
6587	734995.481969	4777504.499311	0.000000
6588	735937.721294	4777502.129830	0.000000
6593	737626.639391	4776083.418142	0.000000
6594	737301.405674	4776117.835977	0.000000
6596	737330.617654	4776254.032016	0.000000
6597	737641.775319	4776051.254385	0.000000
6598	737637.341801	4776078.398208	0.000000
6600	737283.841283	4776119.859968	0.000000
6601	737592.388721	4776088.440284	0.000000
6605	735256.164411	4777427.886378	0.000000
6606	735390.350829	4777394.603201	0.000000
6607	735963.285265	4777835.693978	0.000000
6614	734653.292650	4777885.459492	0.000000
6616	734655.216769	4777865.066477	0.000000
6634	737147.560184	4775314.008287	0.000000
6635	737196.374064	4775539.117397	0.000000
6637	737149.188885	4775783.838215	0.000000
6644	736172.716774	4776345.541754	0.000000
6649	738731.019489	4777415.068137	0.000000
6692	738208.389853	4778675.713072	0.000000
6693	738274.083332	4778653.280428	0.000000
6696	738035.314246	4778550.972837	0.000000
6699	737860.978636	4778622.654089	0.000000
6701	737932.790010	4778576.380167	0.000000
6702	736000.526274	4775917.312434	0.000000
6717	734147.522896	4777332.609614	0.000000
6718	734059.659388	4776923.355753	0.000000
6719	734035.481563	4776811.079052	0.000000
6720	733850.028854	4776530.562866	0.000000
6722	733892.569876	4776551.558515	0.000000
6725	734097.508224	4777096.056273	0.000000
6727	733002.297443	4775767.251319	0.000000
6728	735137.843681	4778628.271573	0.000000
6742	735413.092890	4777571.306451	0.000000
6743	734997.874153	4778749.656224	0.000000
6745	735130.659907	4778825.779428	0.000000
6746	735214.203715	4778974.003474	0.000000
6747	735258.627327	4779055.952152	0.000000
6748	735337.787035	4778924.977338	0.000000
6751	735166.032871	4778889.212712	0.000000
6753	735322.622463	4778957.733431	0.000000
6766	737061.537690	4783935.234049	0.000000
6770	737145.712617	4784400.733154	0.000000
6772	736606.347411	4780784.294823	0.000000
6774	736862.737191	4779582.220450	0.000000
6775	735333.087396	4777588.835776	0.000000
6802	732997.238452	4775302.207389	0.000000
6803	733028.682127	4775241.916445	0.000000
6804	732957.947467	4775122.072983	0.000000
6805	732885.751603	4775000.557206	0.000000
6807	732745.113831	4774686.440284	0.000000
6812	732576.728698	4774231.539560	0.000000
6814	733011.158834	4775192.661310	0.000000
6815	732839.818330	4774851.318901	0.000000
6818	732864.672986	4775490.169897	0.000000
6819	732977.168977	4775328.674114	0.000000
6821	732672.374229	4774496.027563	0.000000
6822	732676.365364	4774424.413686	0.000000
6829	733674.658198	4776416.338807	0.000000
6831	733132.992414	4775882.063086	0.000000
6836	734136.690240	4776678.245898	0.000000
6838	733887.308224	4776524.447645	0.000000
6839	734018.378679	4776581.917136	0.000000
6841	737507.568726	4777422.147824	0.000000
6842	737599.379135	4777422.423620	0.000000
6843	737552.295837	4777390.759611	0.000000
6844	737548.513888	4777217.852882	0.000000
