id	node	link	layer	offset	easting	northing	elevation	tag	notes
196296	526219	3058549	AUTO/BUS/WALK	29.742737	737078.453525	4777337.265262	0.000000	Shop	hardware
196302	900935	3106501	AUTO/BUS/WALK	17.453772	739753.814223	4777808.596293	0.000000	Shop	convenience
196339	943459	3060317	AUTO/BUS/WALK	29.775569	735195.345051	4779364.472412	0.000000	Shop	clothes
196346	943458	3129078	AUTO/BUS/WALK	43.912596	735183.768712	4779355.855526	0.000000	Shop	outpost
196351	504495	3098244	AUTO/BUS/WALK	30.576467	735243.643186	4777620.228319	0.000000	Shop	ticket
196355	504495	3098244	AUTO/BUS/WALK	32.857106	735245.698357	4777621.811481	0.000000	Amenity	atm
196359	504495	3098244	AUTO/BUS/WALK	30.571135	735243.357861	4777621.886355	0.000000	Amenity	atm
196363	504495	3098244	AUTO/BUS/WALK	31.961640	735244.512113	4777623.138197	0.000000	Amenity	atm
196374	6918	3073653	AUTO/BUS/WALK	48.687753	734816.641428	4778140.378980	0.000000	Shop	mobile_phone
196378	639145	3077307	AUTO/BUS/WALK	22.599079	738837.774949	4779624.899548	0.000000	Amenity	bar
196382	161976	3132683	AUTO/BUS/WALK	31.256874	741947.784518	4775332.827657	0.000000	Shop	computer
196387	6918	3073653	AUTO/BUS/WALK	45.525059	734821.148402	4778139.122169	0.000000	Amenity	bank
196392	932046	3138443	AUTO/BUS/WALK	13.309192	738841.159907	4779608.961390	0.000000	Shop	convenience
196398	590084	3134375	AUTO/BUS/WALK	5.793441	741520.650346	4775090.873740	0.000000	Shop	confectionery
196408	639145	3077307	AUTO/BUS/WALK	22.595990	738837.734654	4779620.939517	0.000000	Leisure	sauna
196417	779130	3115223	AUTO/BUS/WALK	8.291349	738964.313799	4779489.941459	0.000000	Shop	beauty
196421	639489	3077502	AUTO/BUS/WALK	21.311555	738973.562328	4779492.823502	0.000000	Amenity	pharmacy
196457	193537	3072520	AUTO/BUS/WALK	181.429881	750089.287265	4804963.083736	0.000000	Amenity	car_rental
196460	193537	3072520	AUTO/BUS/WALK	151.653991	750082.615901	4804999.493871	0.000000	Leisure	playground
196469	16978	3051085	AUTO/BUS/WALK	19.649495	739302.164762	4779058.525617	0.000000	Shop	convenience
196474	511172	3059207	AUTO/BUS/WALK	18.846852	737592.250481	4777447.905652	0.000000	Shop	furniture
196477	785823	3055825	AUTO/BUS/WALK	12.358276	737581.902867	4777535.111096	0.000000	Amenity	waste_disposal
196480	510650	3055984	AUTO/BUS/WALK	34.339110	737303.777963	4777407.076065	0.000000	Shop	car_repair
196483	511119	3060045	AUTO/BUS/WALK	10.682189	737571.877058	4777446.939657	0.000000	Amenity	dentist
196490	510844	3053981	AUTO/BUS/WALK	25.049533	737445.580509	4777525.289457	0.000000	Leisure	fitness_centre
196493	92614	3072959	AUTO/BUS/WALK	58.036453	734394.248387	4777393.484079	0.000000	Amenity	bar
196496	453859	3076435	AUTO/BUS/WALK	55.128212	734436.616924	4777486.307351	0.000000	Office	government
196499	445998	3100685	AUTO/BUS/WALK	16.377490	734333.761940	4777826.784555	0.000000	Amenity	bar
196503	453123	3073189	AUTO/BUS/WALK	23.736383	734123.640457	4777581.279475	0.000000	Shop	convenience
196507	507735	3104792	AUTO/BUS/WALK	41.857099	736236.420762	4777735.487435	0.000000	Shop	convenience
196511	502129	3058022	AUTO/BUS/WALK	25.454634	734435.837020	4777905.816841	0.000000	Shop	books
196514	499272	3053246	AUTO/BUS/WALK	3.495764	734607.925405	4777899.775512	0.000000	Amenity	bank
196526	94126	3098249	AUTO/BUS/WALK	15.856037	735387.087532	4777578.703115	0.000000	Amenity	bank
196541	506384	3058954	AUTO/BUS/WALK	13.273936	735702.875037	4779141.228498	0.000000	Shop	fashion
196546	663195	3058958	AUTO/BUS/WALK	26.275164	735671.886186	4779136.987214	0.000000	Amenity	pharmacy
196549	647742	3054327	AUTO/BUS/WALK	17.698849	735714.189102	4779188.954995	0.000000	Shop	greengrocer
196551	158664	3118124	AUTO/BUS/WALK	46.262127	735720.976978	4779190.023853	0.000000	Shop	florist
196554	506453	3057627	AUTO/BUS/WALK	26.519687	735741.164236	4779139.262256	0.000000	Office	administrative
196557	442896	3082589	AUTO/BUS/WALK	16.131829	735831.551795	4779186.245840	0.000000	Office	lawyer
196562	442882	3128849	AUTO/BUS/WALK	28.273910	735784.694645	4779190.105467	0.000000	Office	travel_agent
196565	506780	3057421	AUTO/BUS/WALK	16.775030	735834.921462	4779042.111316	0.000000	Shop	doityourself
196568	94126	3098249	AUTO/BUS/WALK	39.696449	735410.348106	4777573.179742	0.000000	Amenity	cafe
196574	896793	3089959	AUTO/BUS/WALK	13.811419	739430.252087	4777888.702026	0.000000	Shop	convenience
196577	448235	3074259	AUTO/BUS/WALK	13.546427	734339.728474	4777273.057092	0.000000	Amenity	cafe
196684	499954	3053173	AUTO/BUS/WALK	12.306161	735038.975301	4778936.042730	0.000000	Leisure	sports_centre
196693	503614	3056529	AUTO/BUS/WALK	46.524230	735018.061368	4777984.249126	0.000000	Leisure	sports_centre
196699	934221	3088533	AUTO/BUS/WALK	30.334964	737864.876251	4783649.285094	0.000000	Leisure	sports_centre
196706	535109	3082980	AUTO/BUS/WALK	49.452010	737866.204649	4783667.389917	0.000000	Leisure	sports_centre
196715	451243	3073900	AUTO/BUS/WALK	27.485430	733173.421667	4775487.488743	0.000000	Leisure	sports_centre
196724	900890	3105921	AUTO/BUS/WALK	10.970168	739965.866710	4777652.866053	0.000000	Shop	beauty
196728	27110	3105918	AUTO/BUS/WALK	19.744060	739899.313071	4777672.417707	0.000000	Shop	convenience
196731	196312	3106505	AUTO/BUS/WALK	9.287510	739615.583817	4777839.940206	0.000000	Shop	convenience
196735	650753	3122744	AUTO/BUS/WALK	30.913359	740196.915466	4777622.064252	0.000000	Shop	supermarket
196738	196314	3106503	AUTO/BUS/WALK	39.711620	739711.052400	4777848.235100	0.000000	Shop	hairdresser
196761	630772	3105134	AUTO/BUS/WALK	13.053501	734475.132960	4778093.714958	0.000000	Amenity	restaurant
196772	718310	3130787	AUTO/BUS/WALK	53.865158	740478.316316	4777911.619993	0.000000	Shop	car_repair
196778	83129	3055204	AUTO/BUS/WALK	31.325270	737357.948844	4777335.840780	0.000000	Amenity	doctors
196783	648597	3137807	AUTO/BUS/WALK	11.359456	740447.378956	4778009.661934	0.000000	Shop	car_repair
196827	41987	3104812	AUTO/BUS/WALK	28.602666	737240.277446	4777447.741951	0.000000	Shop	kiosk
196831	526209	3060237	AUTO/BUS/WALK	46.916191	737136.130049	4777314.597785	0.000000	Shop	supermarket
196840	844111	3121405	AUTO/BUS/WALK	12.423377	738736.691021	4779768.913809	0.000000	Shop	car_repair
196859	500527	3070529	AUTO/BUS/WALK	39.108625	735366.311248	4778706.868629	0.000000	Shop	shoes
196991	857267	3065255	AUTO/BUS/WALK	40.217005	737683.412912	4786404.594875	0.000000	Office	government
196994	1102581	3104369	AUTO/BUS/WALK	16.696605	739240.192430	4776403.683391	0.000000	Amenity	pharmacy
