LAT,LON,HOUSE_ID,ADDRESS,YEAR,LASTUPDATE,SERVICEDATE_START,SERIE,HOUSE_TYPE,CAPFOND,MGMT_COMPANY,MGMT_COMPANY_LINK,AVAR,LEVELS_MAX,LEVELS_MIN,DOORS,ROOM_COUNT,ROOM_COUNT_LIVE,ROOM_COUNT_NONLIVE,AREA,AREA_LIVE,AREA_NONLIVE,AREA_GEN,AREA_LAND,AREA_PARK,CADNO,ENERGY_CLASS,BLAG_PLAYGROUND,BLAG_SPORT,BLAG_OTHER,OTHER,
43.133111,131.891593,8086554,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 10а",1968,08.04.2016 в 11:22,01.12.2010,Не заполнено,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Фрунзенского района""",http://www.reformagkh.ru/mymanager/profile/6953242/,Нет,5,0,2,44,44,0,2340.1,1890.1,450,Незаполнено,Незаполнено,Незаполнено,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено,
43.133072,131.892267,8086555,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 10б",1968,25.04.2016 в 09:13,01.12.2010,Не заполнено,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Фрунзенского района""",http://www.reformagkh.ru/mymanager/profile/6953242/,Нет,5,1,2,44,44,Не заполнено,2165.7,1800,0,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.133999,131.890803,8086557,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 11",1968,30.03.2016 в 06:58,01.11.2011,Не заполнено,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Фрунзенского района""",http://www.reformagkh.ru/mymanager/profile/6953242/,Нет,5,1,6,90,90,0,5746,4324,0,1422,Незаполнено,Незаполнено,,Не присвоен,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.133493,131.891162,8086558,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 12",1968,29.03.2016 в 02:55,01.12.2010,Не заполнено,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Фрунзенского района""",http://www.reformagkh.ru/mymanager/profile/6953242/,Нет,5,1,4,66,66,0,3517.5,2893.5,0,624,Незаполнено,Незаполнено,,Не присвоен,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.133473,131.891809,8086561,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 12а",1968,31.03.2016 в 05:05,01.12.2010,Не заполнено,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Фрунзенского района""",http://www.reformagkh.ru/mymanager/profile/6953242/,Нет,5,1,4,66,66,0,3866.1,3003.1,0,863,Незаполнено,Незаполнено,,Не присвоен,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.13342,131.892438,9107405,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 12Б",1969,29.02.2016 в 04:26,07.05.1969,Панельный,Многоквартирный дом,На специальном счете организации,ЖСК №39,http://www.reformagkh.ru/mymanager/profile/8837727/,Нет,5,5,4,61,60,1,3657.9,2646.3,1011.6,Незаполнено,701.1,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.133881,131.891566,8086562,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 14",1970,31.03.2016 в 05:19,01.12.2010,Не заполнено,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Фрунзенского района""",http://www.reformagkh.ru/mymanager/profile/6953242/,Нет,12,1,1,48,48,0,2749.5,2353.5,0,396,Незаполнено,Незаполнено,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено,
43.135223,131.893309,6690507,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 15",1967,22.04.2016 в 02:56,29.04.2016,Панельный,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Эгершельд ДВ""",http://www.reformagkh.ru/mymanager/profile/8804978/,Нет,5,1,6,90,89,1,5974,4380,63,1531,4638,0,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено,
43.135223,131.893309,9051104,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 15_",1967,31.08.2015 в 02:01,Не заполнено,1-в2,Многоквартирный дом,Не заполнено,Не заполнено,,Нет,5,Не заполнено,6,90,Не заполнено,Не заполнено,4443,4379.9,63,Незаполнено,1300,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.135223,131.893309,9080452,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 15.",1967,08.10.2015 в 06:43,13.01.2014,Панельный,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Эгершельд ДВ""",http://www.reformagkh.ru/mymanager/profile/8804978/,Нет,5,0,4,60,60,0,2680.5,2420,260.5,2680.5,0,0,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено,
43.134236,131.891908,8086564,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 16",1970,31.03.2016 в 05:26,01.12.2010,Не заполнено,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Фрунзенского района""",http://www.reformagkh.ru/mymanager/profile/6953242/,Нет,12,1,1,48,48,0,2517.2,2027.2,0,490,Незаполнено,Незаполнено,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено,
43.135427,131.894162,8086565,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 17",1967,13.10.2015 в 05:37,02.07.2014,"хрущевка,1-2в",Многоквартирный дом,На счете регионального оператора,"ООО ""УК Эгершельд ДВ""",http://www.reformagkh.ru/mymanager/profile/8804978/,Нет,5,0,4,60,60,0,2723.6,2720.6,3,2723.6,1200,Незаполнено,,Не присвоен,Имеется,Не имеется,Не заполнено,Не заполнено,
55.76,37.64,8809478,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 19",Не заполнено,22.05.2015 в 20:42,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,,Нет,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,Незаполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,Не заполнено,
43.134506,131.892366,8086567,"край. Приморский, г. Владивосток, ул. Хабаровская, д. 20",1971,31.03.2016 в 05:39,01.12.2010,Не заполнено,Многоквартирный дом,На счете регионального оператора,"ООО ""УК Фрунзенского района""",http://www.reformagkh.ru/mymanager/profile/6953242/,Нет,12,1,1,48,48,0,2903.7,2414.7,0,489,Незаполнено,Незаполнено,,Не присвоен,Не имеется,Не имеется,Не заполнено,Не заполнено,
