	Unnamed: 0	name	cat	address	emp	vac	lat	lon	district
893	893	"ООО ""САКУРА"""	Производство мебели для офисов и предприятий торговли…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 501, собеседование и прием соискателей с предварительной записью по телефону каждый вторник с 10 до 11 час.	5	1	43.1286497	131.8921162	Фрунзенский
894	894	"ООО ""Санаторий ""Амурский залив"""	Деятельность санаторно-курортных организаций	690041, г Владивосток, ул Маковского, д. 65	59	1	43.2242993	131.9714827	Советский
895	895	"ООО ""Санаторий ""Строитель"""	Деятельность санаторно-курортных организаций	690024, г Владивосток, ул Маковского, д. 121	98	0	43.2305604	132.0066957	Советский
896	896	"ООО ""САНГ-ПРИМОРЬЕ"""	Торговля оптовая непродовольственными потребительскими товарами	690062, г Владивосток, ул Днепровская, д. 25	25	0	43.1417683	131.9225881	Первореченский
897	897	"ООО ""САТУРН"""	Строительство жилых и нежилых зданий…	690074, г Владивосток, ул Выселковая, д. 39, офис 216	15	5	43.1455061	131.9472496	Первореченский
898	898	"ООО ""Североторг"""	Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах	690087, г Владивосток, ул Деревенская, д. 14	92	0	43.1357068	131.9277738	Первореченский
899	899	"ООО ""Сега"""	Управление эксплуатацией жилого фонда за вознаграждение или на договорной основе	690018, г Владивосток, ул Нахимова, д. 1	41	0	43.1519655	131.9138714	Первореченский
900	900	"ООО ""СЕЗОНЫ"""	Торговля розничная обувью и изделиями из кожи в специализированных магазинах…	690039, г Владивосток, ул Русская, д. 2к, офис 35	27	1	43.165203	131.90707	Советский
901	901	"ООО ""СЕРВИС-ДВ"""	Торговля оптовая за вознаграждение или на договорной основе	690028, г Владивосток, ул Выселковая, д. 39, офис 202	100	15	43.1455061	131.9472496	Первореченский
902	902	"ООО ""СЕТЬ СВЯЗНОЙ"""	Торговля розничная, кроме торговли автотранспортными средствами и мотоциклами	690091, г Владивосток, ул Тигровая, д. 29	119	0	43.1167666	131.8789067	Фрунзенский
903	903	"ООО ""СЖД"""	Строительство железных дорог и метро…	690011, г Владивосток, ул Борисенко, д. 35, корп. А, офис 43	37	1	43.0988515	131.9561542	Первомайский
904	904	"ООО ""СЗ ""ЭКО КВАРТАЛ"""	Строительство жилых и нежилых зданий…	690091, г Владивосток, ул Луцкого, д. 21, офис 2 этаж, Для записи на собедование необходимо позвонить.	69	1	43.1165337	131.8963497	Ленинский
